marker,level,n_syn,n_nat,syn_mean,nat_mean,cliffs_d,mwu_p,ci_lo,ci_hi,boot_p,ci_lo_cons,ci_hi_cons,boot_p_cons,icc_syn,icc_nat,deff_syn,deff_nat
S,utterance,1731,2341,0.7099,0.6726,0.0757,3.501992850814652e-05,-0.0337,0.1846,0.173,-0.0798,0.2338,0.315,0.1665,0.3786,5.89,11.15
S,speaker/voice,57,84,0.7093,0.6812,0.0831,0.40431910715337593,,,,,,,,,,
S,provider,8,84,0.715,0.6812,0.0744,0.7389479762187338,,,,,,,,,,
R,utterance,406,760,0.8971,0.6771,0.4862,1.1305809214638768e-42,0.3996,0.5667,0.0,0.3859,0.5671,0.0,0.2159,0.1881,2.34,2.81
R,speaker/voice,56,71,0.8857,0.653,0.829,1.2443486985163164e-15,,,,,,,,,,
R,provider,8,71,0.8962,0.653,0.9085,5.620806365515373e-07,,,,,,,,,,
DT,utterance,957,864,0.8015,0.5198,0.5528,1.8297118289091904e-92,0.454,0.6418,0.0,0.2768,0.6549,0.0,0.0717,0.3116,2.13,4.64
DT,speaker/voice,57,68,0.804,0.5092,0.8679,7.74219503523121e-17,,,,,,,,,,
DT,provider,8,68,0.8118,0.5092,0.8824,2.2700606858196514e-06,,,,,,,,,,
AGG,utterance,3094,3965,0.7628,0.6402,0.2517,8.239946848492795e-74,0.1886,0.315,0.0,0.1735,0.316,0.0,0.0526,0.1629,3.8,7.84
AGG,speaker/voice,57,92,0.7641,0.6315,0.6609,1.3160034670249346e-11,,,,,,,,,,
AGG,provider,8,92,0.7716,0.6315,0.7092,0.00039457271670573154,,,,,,,,,,
