config,synth_group,kind,nat_fold,nat_n,syn_n,heldout_eer
loc_ecapa,azure,KDE,ann_hash128,43,10,20.0
loc_ecapa,azure,KDE,ann_lcname,4,10,10.0
loc_ecapa,azure,KDE,ann_named_fm,22,10,13.64
loc_ecapa,azure,KDE,ann_numeric,6,10,20.0
loc_ecapa,azure,KDE,ann_other,2,10,20.0
loc_ecapa,azure,KDE,ann_youtube11,15,10,20.0
loc_ecapa,azure,KDE,resp_spotify,189,10,13.23
loc_ecapa,google,KDE,ann_hash128,43,10,18.6
loc_ecapa,google,KDE,ann_lcname,4,10,0.0
loc_ecapa,google,KDE,ann_named_fm,22,10,13.64
loc_ecapa,google,KDE,ann_numeric,6,10,16.67
loc_ecapa,google,KDE,ann_other,2,10,20.0
loc_ecapa,google,KDE,ann_youtube11,15,10,13.33
loc_ecapa,google,KDE,resp_spotify,189,10,0.0
loc_ecapa,elevenlabs,KDE,ann_hash128,43,10,20.0
loc_ecapa,elevenlabs,KDE,ann_lcname,4,10,10.0
loc_ecapa,elevenlabs,KDE,ann_named_fm,22,10,18.18
loc_ecapa,elevenlabs,KDE,ann_numeric,6,10,30.0
loc_ecapa,elevenlabs,KDE,ann_other,2,10,40.0
loc_ecapa,elevenlabs,KDE,ann_youtube11,15,10,20.0
loc_ecapa,elevenlabs,KDE,resp_spotify,189,10,10.0
loc_ecapa,openai,KDE,ann_hash128,43,9,0.0
loc_ecapa,openai,KDE,ann_lcname,4,9,0.0
loc_ecapa,openai,KDE,ann_named_fm,22,9,11.11
loc_ecapa,openai,KDE,ann_numeric,6,9,11.11
loc_ecapa,openai,KDE,ann_other,2,9,0.0
loc_ecapa,openai,KDE,ann_youtube11,15,9,13.33
loc_ecapa,openai,KDE,resp_spotify,189,9,5.82
loc_ecapa,f5,KDE,ann_hash128,43,2,50.0
loc_ecapa,f5,KDE,ann_lcname,4,2,25.0
loc_ecapa,f5,KDE,ann_named_fm,22,2,50.0
loc_ecapa,f5,KDE,ann_numeric,6,2,50.0
loc_ecapa,f5,KDE,ann_other,2,2,50.0
loc_ecapa,f5,KDE,ann_youtube11,15,2,50.0
loc_ecapa,f5,KDE,resp_spotify,189,2,38.62
loc_ecapa,qwen3,KDE,ann_hash128,43,9,2.33
loc_ecapa,qwen3,KDE,ann_lcname,4,9,0.0
loc_ecapa,qwen3,KDE,ann_named_fm,22,9,0.0
loc_ecapa,qwen3,KDE,ann_numeric,6,9,0.0
