synth_group,kind,n_voices,ECAPA+Formants,ZIPA+PX+Formants
azure,KDE,10,4.95,7.44
elevenlabs,KDE,10,12.49,11.1
f5,KDE,2,22.06,32.03
google,KDE,10,12.03,15.8
kokoro,KDE,3,1.07,0.71
openai,KDE,9,3.79,3.36
piper,KDE,4,31.4,19.84
qwen3,KDE,9,2.61,6.76
Fish-S2-Pro,MLAAD,4,0.36,0.0
Hume TADA-3B-ML,MLAAD,4,1.07,10.49
LEMAS-TTS,MLAAD,4,1.07,0.36
Llasa-1B-Multilingual,MLAAD,1,2.49,8.9
MOSS-TTS-1.7B,MLAAD,4,0.36,1.07
MOSS-TTS-8B,MLAAD,4,0.36,6.05
OmniVoice,MLAAD,4,0.36,0.0
OpenAI TTS-1 HD,MLAAD,13,2.38,9.28
Qwen3-TTS-12Hz-0.6B-Base,MLAAD,5,0.71,0.0
Qwen3-TTS-12Hz-1.7B-Base,MLAAD,4,0.36,0.36
VoxCPM2,MLAAD,4,1.07,15.84
Voxtral,MLAAD,2,9.25,20.82
tts_models_multilingual_multi-dataset_bark,MLAAD,1,34.16,24.91
tts_models_multilingual_multi-dataset_xtts_v1.1,MLAAD,1,0.0,0.0
tts_models_multilingual_multi-dataset_xtts_v2,MLAAD,1,1.42,0.0
tts_models_pt_cv_vits,MLAAD,1,0.36,0.0
